          К содержанию;;;;;;;;;;;;;
Ликвидировано основных фондов за год  по полному кругу организаций (млн рублей);;;;;;;;;;;;;
;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Всего;287 079;309 183;320 797;379 410;429 373;537 331;563 203;614 888;702 185;810 193;1 044 973;1 304 140;1 274 050
Раздел А Сельское хозяйство, охота и лесное хозяйство;40 194;41 231;38 017;40 186;43 774;46 269;55 974;64 832;74 805;80 441;83 672;100 556;94 441
Раздел В Рыболовство, рыбоводство;701;885;410;910;1 517;699;888;1 738;2 670;1 247;4 316;1 675;939
Раздел С Добыча полезных ископаемых;25 028;33 337;35 083;43 051;48 531;61 353;66 040;75 364;87 375;97 992;97 903;151 208;154 083
Раздел D Обрабатывающие производства;39 632;42 051;39 848;41 978;50 539;47 289;56 925;63 167;74 110;109 549;101 556;125 241;101 550
Раздел Е Производство и распределение электроэнергии,  газа и воды;17 982;23 188;14 919;12 125;13 700;17 143;14 168;20 826;39 975;33 398;38 744;37 417;42 140
Раздел F Строительство;10 390;10 892;10 635;9 228;14 973;14 520;15 049;30 256;16 218;25 089;23 957;24 554;23 171
"Раздел G Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования";17 893;19 257;17 791;11 988;16 955;22 253;25 828;38 175;22 821;35 596;34 813;42 273;38 576
Раздел Н Гостиницы и рестораны;2 897;1 648;1 961;4 379;2 130;3 789;3 421;7 257;2 275;5 775;4 480;7 350;7 761
Раздел I Транспорт и связь;35 040;38 233;53 173;48 899;56 625;74 951;85 384;91 921;124 754;122 432;136 695;172 201;165 674
Раздел J Финансовая деятельность;3 924;19 383;4 425;8 158;8 662;8 489;13 091;12 210;22 555;24 763;29 727;41 871;48 197
Раздел K Операции с недвижимым имуществом, аренда и  предоставление услуг;53 629;45 314;59 419;95 364;77 982;157 808;151 004;97 761;132 717;149 679;366 524;461 743;470 036
"Раздел L Государственное управление и обеспечение  военной безопасности;  социальное обеспечение";11 725;9 864;12 922;22 368;37 647;28 669;28 610;47 719;36 345;42 175;55 032;44 295;49 642
Раздел M Образование;10 841;8 861;12 832;14 128;19 432;22 250;18 336;17 234;21 626;18 862;20 683;33 184;24 608
Раздел N Здравоохранение и предоставление социальных  услуг;10 903;9 833;12 757;17 581;25 441;21 554;22 064;27 179;27 183;42 131;34 874;41 898;32 720
Раздел O Предоставление прочих коммунальных,  социальных и персональных услуг;6 299;5 202;6 601;9 062;11 465;10 290;6 421;19 249;16 756;21 064;11 997;18 674;20 512
Раздел Q Деятельность экстерриториальных организаций;1;4;4;5;5;5;;;;;;;
